Team,R64,R32,S16,E8,F4,NCG
Duke,0.9702500000000001,0.89925,0.7567499999999999,0.52475,0.317,0.17300000000000001
Siena,0.03,0.013999999999999999,0.008,0.005,0.0025,0.001
Ohio St.,0.53,0.05125,0.022000000000000002,0.0085,0.003,0.0015
TCU,0.47025,0.0355,0.014750000000000001,0.00525,0.002,0.001
St. John's,0.685,0.31299999999999994,0.05925,0.023250000000000003,0.008,0.003
Northern Iowa,0.315,0.109,0.020499999999999997,0.0075,0.0027500000000000003,0.0015000000000000002
Kansas,0.8552500000000001,0.53325,0.1105,0.04675,0.01425,0.00575
Cal Baptist,0.14475,0.04475,0.0085,0.0032500000000000003,0.00125,0.001
Louisville,0.7315,0.2985,0.08775000000000001,0.02775,0.009250000000000001,0.0034999999999999996
South Florida,0.2685,0.08199999999999999,0.01625,0.00525,0.002,0.00125
Michigan St.,0.88725,0.5845,0.20350000000000001,0.068,0.02125,0.008
North Dakota St.,0.11275,0.0355,0.008,0.003,0.00125,0.0007500000000000001
UCLA,0.59575,0.1125,0.050499999999999996,0.01425,0.00425,0.002
UCF,0.40425,0.0575,0.02175,0.006500000000000001,0.0025,0.00125
Connecticut,0.958,0.8122499999999999,0.6025,0.248,0.10825,0.0455
Furman,0.042249999999999996,0.01775,0.00975,0.003,0.00125,0.001
Michigan,0.9702500000000001,0.89925,0.7567499999999999,0.52475,0.317,0.17300000000000001
Howard,0.03,0.013999999999999999,0.008,0.005,0.0025,0.001
Georgia,0.53,0.05125,0.022000000000000002,0.0085,0.003,0.0015
Saint Louis,0.47025,0.0355,0.014750000000000001,0.00525,0.002,0.001
Texas Tech,0.685,0.31299999999999994,0.05925,0.023250000000000003,0.008,0.003
Akron,0.315,0.109,0.020499999999999997,0.0075,0.0027500000000000003,0.0015000000000000002
Alabama,0.8552500000000001,0.53325,0.1105,0.04675,0.01425,0.00575
Hofstra,0.14475,0.04475,0.0085,0.0032500000000000003,0.00125,0.001
Tennessee,0.7315,0.2985,0.08775000000000001,0.02775,0.009250000000000001,0.0034999999999999996
Miami OH,0.2685,0.08199999999999999,0.01625,0.00525,0.002,0.00125
Virginia,0.88725,0.5845,0.20350000000000001,0.068,0.02125,0.008
Wright St.,0.11275,0.0355,0.008,0.003,0.00125,0.0007500000000000001
Kentucky,0.59575,0.1125,0.050499999999999996,0.01425,0.00425,0.002
Santa Clara,0.40425,0.0575,0.02175,0.006500000000000001,0.0025,0.00125
Iowa St.,0.958,0.8122499999999999,0.6025,0.248,0.10825,0.0455
Tennessee St.,0.042249999999999996,0.01775,0.00975,0.003,0.00125,0.001
Florida,0.9702500000000001,0.89925,0.7567499999999999,0.52475,0.317,0.17300000000000001
Prairie View A&M,0.03,0.013999999999999999,0.008,0.005,0.0025,0.001
Clemson,0.53,0.05125,0.022000000000000002,0.0085,0.003,0.0015
Iowa,0.47025,0.0355,0.014750000000000001,0.00525,0.002,0.001
Vanderbilt,0.685,0.31299999999999994,0.05925,0.023250000000000003,0.008,0.003
McNeese,0.315,0.109,0.020499999999999997,0.0075,0.0027500000000000003,0.0015000000000000002
Nebraska,0.8552500000000001,0.53325,0.1105,0.04675,0.01425,0.00575
Troy,0.14475,0.04475,0.0085,0.0032500000000000003,0.00125,0.001
North Carolina,0.7315,0.2985,0.08775000000000001,0.02775,0.009250000000000001,0.0034999999999999996
VCU,0.2685,0.08199999999999999,0.01625,0.00525,0.002,0.00125
Illinois,0.88725,0.5845,0.20350000000000001,0.068,0.02125,0.008
Penn,0.11275,0.0355,0.008,0.003,0.00125,0.0007500000000000001
Saint Mary's,0.59575,0.1125,0.050499999999999996,0.01425,0.00425,0.002
Texas A&M,0.40425,0.0575,0.02175,0.006500000000000001,0.0025,0.00125
Houston,0.958,0.8122499999999999,0.6025,0.248,0.10825,0.0455
Idaho,0.042249999999999996,0.01775,0.00975,0.003,0.00125,0.001
Arizona,0.9702500000000001,0.89925,0.7567499999999999,0.52475,0.317,0.17300000000000001
LIU,0.03,0.013999999999999999,0.008,0.005,0.0025,0.001
Villanova,0.53,0.05125,0.022000000000000002,0.0085,0.003,0.0015
Utah St.,0.47025,0.0355,0.014750000000000001,0.00525,0.002,0.001
Wisconsin,0.685,0.31299999999999994,0.05925,0.023250000000000003,0.008,0.003
High Point,0.315,0.109,0.020499999999999997,0.0075,0.0027500000000000003,0.0015000000000000002
Arkansas,0.8552500000000001,0.53325,0.1105,0.04675,0.01425,0.00575
Hawaii,0.14475,0.04475,0.0085,0.0032500000000000003,0.00125,0.001
BYU,0.7315,0.2985,0.08775000000000001,0.02775,0.009250000000000001,0.0034999999999999996
Texas,0.2685,0.08199999999999999,0.01625,0.00525,0.002,0.00125
Gonzaga,0.88725,0.5845,0.20350000000000001,0.068,0.02125,0.008
Kennesaw St.,0.11275,0.0355,0.008,0.003,0.00125,0.0007500000000000001
Miami FL,0.59575,0.1125,0.050499999999999996,0.01425,0.00425,0.002
Missouri,0.40425,0.0575,0.02175,0.006500000000000001,0.0025,0.00125
Purdue,0.958,0.8122499999999999,0.6025,0.248,0.10825,0.0455
Queens,0.042249999999999996,0.01775,0.00975,0.003,0.00125,0.001
