bin,center,pred_mean,obs_mean,n
0,0.05,0.034282918602039636,0.052083333333333336,384
1,0.15000000000000002,0.15336390554969376,0.11377245508982035,167
2,0.25,0.24684882005047382,0.2302158273381295,139
3,0.35000000000000003,0.35157095740163774,0.25316455696202533,158
4,0.45,0.4492654352922517,0.37735849056603776,159
5,0.55,0.5507345647077483,0.6226415094339622,159
6,0.6500000000000001,0.6484290425983623,0.7468354430379747,158
7,0.75,0.7531511799495261,0.7697841726618705,139
8,0.8500000000000001,0.8466360944503065,0.8862275449101796,167
9,0.95,0.9657170813979604,0.9479166666666666,384
